Ticker_Name,Ticker,Texts,Like_Count,Datetime
uob,U11.SI,"Here's the episode mentioned by @loweryhannah1
View from 16:50-22:30 for Ruth Goodman talking to Nicholas Rayne about @RayneShoes origins in theatre then in Messel Suite @TheDorchester to Amber Butchart about 1950s &amp; #OliverMessel
https://t.co/0ibC0hJ3cv",3,2023-02-21 06:59:42
uob,U11.SI,"🎓⚽️ Hear from @uniofbeds @UoB_SSPA alumnus Matty (@mortimer_5), who now works as a football analyst for @FIFAcom, about his #academic journey &amp; experience studying on the Applied Sport Science and Coaching degree 👏

Read Matty's story 👉  https://t.co/B9RuwpytH7 https://t.co/5Pc9fqUi3K",15,2023-02-21 08:24:38
uob,U11.SI,Congratulations to Professor Kristien Boelaert from @UoB_IAHR for her new position as President Elect of the British Thyroid Association @ThyroidBritish. Starting in May. https://t.co/y1Tz4rBJ53 https://t.co/g8St9h9u56,45,2023-02-21 08:34:55
uob,U11.SI,"Living in Selly Oak means you’re only one train or bus ride away from the gorgeous Birmingham City Centre. https://t.co/GyIh8zDUSk
#uobstudents #studentaccommodation #studenthousing #studentliving #unibham #sellyoak #bham #astonuni #uob #bcu https://t.co/xVK16VMUIq",0,2023-02-21 10:06:40
uob,U11.SI,"#Mystras, #Greece. Hagios Demetrios, 13th-15th C. Slab with the double-headed eagle. This symbol was associated with the imperial family of the Palaiologoi, emperors of Byzantium from 1261 to 1453.
#DavidTalbotRice Archive
Courtesy of @CbomgsU @CAHA_UoB

@JeVarsallona for @SPBSUK https://t.co/jbV5fHAXVl",57,2023-02-21 10:21:40
uob,U11.SI,"📗#Publication | @JbSiba and @f_levet have contributed to this new #article from @naturemethods !🙌
🔗Find their point of view: https://t.co/SOhnRQiEJY
@D_J_Nieves @Owen_lab_UoB",2,2023-02-21 11:11:58
uob,U11.SI,"Delighted for all the amazing feedback I received from the @RichardsLabUoB for my talk on educational inclusion, socio-emotional development and vision impairment! Thank you for having me🙏
@IMH_UoB",5,2023-02-21 11:13:07
uob,U11.SI,"Thank you to UoB Fashion Forward Society for raising  a whopping £1000 from their Trashion Show event! 

The proceeds go towards continuing Bristol Hub’s programmes in connecting uni students with volunteering programmes in the local community. 
#Bristol #BristolEvent #Fashion https://t.co/V6gMEGZDB1",2,2023-02-21 13:21:19
uob,U11.SI,"💬: ""Research into the biological processes involved in age-related inflammation means we can consider what protective factors may reduce burden on healthcare from age-related issues.""

Fascinating insight from new research led by @Duggal_UoB.",3,2023-02-21 14:35:00
uob,U11.SI,We are so excited to be hosting the annual Health Services Research UK @HSRN_UK conference @unibirmingham @_HSMCentre @UoB_IAHR from 4-6 July! Details of how to book a discounted early bird place here:,11,2023-02-21 15:10:25
uob,U11.SI,The Alzheimer’s society and the APPG on dementia are looking for people to describe barriers they face to getting a diagnosis- and for evidence from professionals- closing date 24th feb! https://t.co/MUeS0vTqgF @Dementia_UoB @wolfsoncahr @rcpsychOldAge,0,2023-02-21 16:39:28
uob,U11.SI,Great to have @AlexBaird12 from  @UoB_SSPA at our @uniofbeds Head of School meeting and supporting the #EDI work going on across the University 👏 https://t.co/u13XH5gJ2J,6,2023-02-21 17:09:29
uob,U11.SI,@UoB_medic @JoanneSelway @JFODowd @VishnaDevi  So happy to introduce these #IMU students from Malaysia to the very British habit of afternoon tea! 🍰🧁🫖☕,2,2023-02-21 17:42:13
uob,U11.SI,"#PALMOIL
*UOB KayHian 1-20th Feb23 #Production Survey*

#Sabah: ranges from -4% to -8%                

#Sarawak : ranges from -9% to -13%

PM: ranges from -4% to unchanged

Estimated production for F20 Feb23: -3% to -7%",12,2023-02-22 06:51:42
uob,U11.SI,"UOB KayHian 1-20th Feb23 Production Survey*
Sabah: ranges from -4% to -8%                
Sarawak : ranges from -9% to -13%
PM: ranges from -4% to unchanged
Estimated production for F20 Feb23: -3% to -7%
..#palmoil #malaysia",10,2023-02-22 06:56:56
uob,U11.SI,"New annual Practitioner Grants from @TheSTR -
""This year there are a maximum of ten support grants of £200 available. We particularly welcome applications for projects working with under-represented voices in British Theatre""",1,2023-02-22 07:38:09
uob,U11.SI,"@Natfinchleeds @UoB_Nursing The @UniofBradford Academic Skills Advice Team are brilliant and really keen to do more work like this. Unanimous feedback from students that they really valued their involvement in the process. We can get our thinking hats on, Natalie! 🎩🧐",3,2023-02-22 08:10:19
uob,U11.SI,"Bake bread with Bread &amp; Belief: a Christian community @unibirmingham
We will mix flour into dough and share stories; stories from our lives and from the Bible.
SIGN UP @ https://t.co/IyjAHSKeWW 
Date/Time: Wed, 1 March, 1pm – 3pm.
Location: Oasis Lounge, St Francis Hall 1/2 https://t.co/dGrWcYf45E",2,2023-02-22 10:19:55
uob,U11.SI,"Learn from the experiences of leading female academics in MDS - register now and don't miss out - free pizza, drinks and prizes - an event organised for #InternationalWomensDay @unibirm_MDS @triniresearcher @ICVS_UoB @IcgsUob @IMSR_UoB @InflamAge_UoB",3,2023-02-22 11:14:36
uob,U11.SI,"New! CHASM Seminar - 24th April 2023

CHASM welcomes @arunadvaniecon presenting,

'How much tax do the rich really pay? Evidence from the UK'

https://t.co/sHxqqCHMlr

@UoBSocialPolicy @CoSS_Birmingham @UoB_Business @warwickecon",4,2023-02-22 12:10:22
uob,U11.SI,Indonesia: Strong performance of the current account in 2022 – UOB: Economist at UOB Group Enrico Tanuwidjaja reviews the latest results from the current account in Indonesia. Key Takeaways… https://t.co/OHKOKiKq6q &gt; https://t.co/pMSXxz6r1C #forex #fxtrading #forexnews https://t.co/5vta9SRSPb,0,2023-02-22 12:44:15
uob,U11.SI,"A fascinating workshop discussion with @AlphaCopdDoc and @cameron_wraith on industry-academic collaborations to achieve levelling up! 

Academics from @UoB_IAHR and beyond have come to an intimate session to receive guidance from those experienced in collaborating with industry. https://t.co/yNoBlQAC1N",4,2023-02-22 12:58:13
uob,U11.SI,"Mindful Doodling and Colouring @unibirmingham
Slowdown from the rush of life and creatively and colourfully pay attention to the present moment.
Thurs 2 March 1 - 2pm
Worship Room @UoB_Chaplaincy
To sign up/further information, email 
@Rev_mindy https://t.co/TuGvDnOyzx 1/2 https://t.co/eM28dyDtod",1,2023-02-22 13:36:05
uob,U11.SI,These creative services will provide space for you to contemplate your own pilgrimage and discover ancient wisdom and spiritual practices from the deep wells of our Christian sacraments and traditions. 3/3,0,2023-02-22 13:42:22
uob,U11.SI,"This Month we welcome Fr Jacob Pallett from St Mary's Selly Oak to introduce us to The Stations of the Cross. Whether you are merely curious about Christian spirituality or have been a follower of Jesus all your life, you are most welcome at The Well. 2/3",1,2023-02-22 13:42:22
uob,U11.SI,"Herbert Walters lockdown photography exhibition 'Where We Once Gathered' will be displayed in the Bramall Music Building at @unibirmingham from Sat 4 March.

This exhibitions forms part of our 'Our City of Stories' series.

@artsatbham @LCAHM_UoB @unibirmingham @BarberInstitute https://t.co/z5Tu9xsHMY",2,2023-02-22 15:00:04
uob,U11.SI,"Well done @zehra_yonel 
Phd ✅

Great achievement. Massive high 5 from all the @ClinicalEcr &amp; @UoB_Dentistry Team!",4,2023-02-22 16:29:19
uob,U11.SI,"An exciting day @UoB_Nursing . Students from all fields and all year groups joined together to have professional photographs taken to showcase their learning and our fantastic, on-site clinical and simulation spaces https://t.co/J10F5O7GfR",25,2023-02-22 18:09:27
uob,U11.SI,@JenniferAllsopp @unibirmingham @uobfga @UoB_Sanctuary @RLRH_Oxford @MigrantVoiceUK @After18UK Amazing to hear about this fantastic opportunity from @unibirmingham,0,2023-02-22 18:27:27
uob,U11.SI,"6/7 Which is a collaborative project between the University of Brighton (UoB), University College London (UCL), and Friedrich Alexander University. This project is supported by a Research Environment Links grant from the British Council’s Going Global Partnerships programme.",0,2023-02-22 19:32:26
uob,U11.SI,"To the relevant person to allow MISS SAKSORN NUANLA-ONG to receive money from the IMF in the amount of $ 1,500,000.00 from the matter sent to Lioyds Bank that is transferred to the USD FCD account at UOB. https://t.co/xO5oo8DNse",0,2023-02-22 22:03:08
uob,U11.SI,"To the relevant person to allow MISS SAKSORN NUANLA-ONG to receive money from the IMF in the amount of $ 1,500,000.00 from the matter sent to Lioyds Bank that is transferred to the USD FCD account at UOB. https://t.co/zy6za32Azj",0,2023-02-22 22:15:14
uob,U11.SI,"To the relevant person to allow MISS SAKSORN NUANLA-ONG to receive money from the IMF in the amount of $ 1,500,000.00 from the matter sent to Lioyds Bank that is transferred to the USD FCD account at UOB. https://t.co/wo5DWvqzok",0,2023-02-22 22:15:49
uob,U11.SI,"Join the experts from UOB, Coface, Intel and OCBC as they share their views on the market outlook for 2023 and their insights on the opportunities to look out for this year. Register today ➡️ https://t.co/GYyFidTqUy

#SASFutureRiskForum2023 #MarketOutlook https://t.co/zJJNzEygAx",0,2023-02-23 07:19:15
uob,U11.SI,"""The acquisition and creation of The Centre has been made possible thanks to the David Bowie Estate and a generous donation of £10m from the Blavatnik Family Foundation and Warner Music Group""",0,2023-02-23 08:07:03
uob,U11.SI,"#BowieArchiveVAM
""From 2025, the archive will be made available to the public, from fans to school children and researchers, through the creation of The David Bowie Centre for the Study of Performing Arts at V&amp;A East Storehouse, in Stratford’s Queen Elizabeth Olympic Park"" https://t.co/xqLVreGmrw",10,2023-02-23 08:07:03
uob,U11.SI,"5 out of the top 10 most borrowed titles from UK public libraries in 2021/22 can be borrowed from UoB's wonderful Library! 😀📚

Most form part of our 'Bristol Reads' collection. Books that can be read for pleasure. Here are some additions we made in 2022: https://t.co/g4MkgYHsSw",1,2023-02-23 09:23:11
uob,U11.SI,@uobfga @UoB_Sanctuary @unibirmingham Can a refugee from other countries apply?,0,2023-02-23 15:40:33
uob,U11.SI,"Giving oral evidence to UK Parliament Education Committee https://t.co/ZOzEZdAz0L on support for childcare &amp; early years, Prof @greenway_celia @unibirmingham spotlights inter alia research from Prof Karen Guldberg @DISN_UoB @UoBautism about assessment for autism in young children",10,2023-02-23 17:20:57
uob,U11.SI,@JamieLEdwards1 Stole the design from UoB d'ay they,2,2023-02-23 22:30:07
uob,U11.SI,@PhilCorlett1 @matthewrbroome @RRitunnano @OxExpPsy @IMH_UoB It really wasn’t our intention to dismiss CP or your work in particular. Arguing from a more humanist and phenomenology point opens up some conceptual questions about the assumption some (!) CP approaches are based on.,1,2023-02-23 22:38:08
uob,U11.SI,"@PhilCorlett1 @matthewrbroome @RRitunnano @OxExpPsy @IMH_UoB And we did point out a shift in that regard, moving away from more rational decision-making assumptions to more perceptual models, as mainly initiated by yourself and colleagues!",1,2023-02-23 22:39:25
uob,U11.SI,UOB Declares a Higher Final Dividend of S$0.75: 5 Highlights from the Bank’s 2022 Earnings https://t.co/UmqBAfcPJh,0,2023-02-24 01:26:36
uob,U11.SI,"""Prints, posters, music covers, photographs, original stage designs &amp; other material illustrate use of water in entertainment, from festivals designed for Sun King Louis XIV, to C19th nautical melodramas &amp; other plays, from Shakespeare to Edward Bond, in which water has a role""",0,2023-02-24 09:18:18
uob,U11.SI,"Hi @StradlingColl
1996 'Westward Ho!' ""an exhibition of ships, the sea, and other waters in theatre and popular entertainment""
The catalogue lists 55 items - all except one were from the University of Bristol Theatre Collection. Christopher Robinson was Keeper at that time🎭 https://t.co/1ZbUiTQmjx",1,2023-02-24 09:18:18
uob,U11.SI,"Can't wait to hear from our own @V_Pargetter at #FutureOfWork23 hosted by @CBItweets on Wednesday. Closing the #digitalskills gap is a vital priority for our region and the UK, and our experts at @unibirmingham can help businesses ensure they are ready for a #digitalfuture.",9,2023-02-24 09:45:56
uob,U11.SI,"Hello, today im resign from UOB Bank, shittt",0,2023-02-24 10:11:29
uob,U11.SI,Some tips from our amazing team at @unibirmingham @uobfga @UoB_Sanctuary @uniofsanctuary on recruiting for the Sanctuary scholarship (&amp; early insight into our listening exercise research which we'll make available mid 2023): 1. Make support available at application stage (1/3),5,2023-02-24 10:35:50
uob,U11.SI,Our next seminar is with Dr @stroud_lab from @KingsCollegeLon who will be giving a talk about the role of nuclear envelope (NE) protein Lem2 in maintaining cardiomyocyte nuclear integrity in development and disease. #ICVSSeminarSeries @GehmlichKatja #protein #cardiomyocyte https://t.co/VoU1ixfO5e,5,2023-02-24 11:02:26
uob,U11.SI,@BTW_UoB @LukeTrainor1 @FemiMind Really wonderful contributions from @LukeTrainor1  and Faiza. It was extremely moving to talk to you both - you are hugely inspiring. Thank you,6,2023-02-24 11:46:13
uob,U11.SI,"Our next seminar as part of our seminar series will be Dr  @_nicoromano_ who will be discussing ""Heterogeneity in corticotrophs - From transcriptional cell states to function"". #IMSRSeminarSeries @SMQB_UoB @ederzavala #WeAreIMSR @unibirm_MDS #corticotrophs #cell https://t.co/BgyCxiT3xx",6,2023-02-24 12:26:21
uob,U11.SI,"Dr Sarah Montano speaks with @bbchw on the rising costs of home-brand products and whether people are relying on lower-cost groceries more than ever

🎧 Listen from 3:26:00: https://t.co/A7VZ3tsASh",1,2023-02-24 12:33:51
uob,U11.SI,"What does arts and humanities research look like? On 15 March, hear from PhD scholars from @bhamlaw , @FCW_UoB , @History_Bham , @LCAHM_UoB and @PTRBirmingham about why their work is vital and the difference it will make: https://t.co/6sVvw2IOXJ @birminghamalum https://t.co/tBlN0NA9Wo",9,2023-02-24 13:09:00
uob,U11.SI,"Doncaster Road Park now has an ORCHARD!!!! 🥰 27 trees were planted at the park yesterday; a mixture of apple, pear &amp; plum. Thanks to the Council's super One Tree per Child Team &amp; the amazing volunteer planters, including a team from the Engineering Design Society at UoB #trees https://t.co/1lkvGpSgA8",7,2023-02-24 13:30:21
uob,U11.SI,"@Caoimhe4now @jordanbhx Those at UoB are a 6 minute train ride away from Five Ways station, or they’re on the cycle route. It would be wise for @WMCycleHire and @voitechnology to situate extra docking stations here",2,2023-02-24 14:34:59
uob,U11.SI,"Are you interested in postgraduate study in International Social Welfare and Social Development (MA)? If you have a specific interest in humanitarian aid from a UK or global perspective, see  👇🏽  for more info or contact @LenaSOpfermann course coordinator https://t.co/2H6El2vPgN https://t.co/WyazRZ2tE6",3,2023-02-24 16:20:53
uob,U11.SI,@brainwipe @MyClinOutcomes Descriptive &gt; Predictive &gt; Prescriptive #AI #PROMs #outcomes @brainwipe 🚀@MyClinOutcomes fantastic research from @CPROR_UoB https://t.co/kWdMC3BHpA https://t.co/yRPB0KYIRs,2,2023-02-24 18:28:34
uob,U11.SI,"@BexCarrington Sadly, some of the pdfs of catalogues have disappeared since your time 😭
Sending @BexCarrington lots of love from the Friends ❤️",1,2023-02-24 19:28:17
uob,U11.SI,"Andy giving me that 80 for my script at BCU, is the only thing that is stopping me from bashing my head against a wall everytime I realise I'm an idiot at UoB.",0,2023-02-24 20:00:53
